"","fav_lan","t_intv_min","tot_euros","tot_kgs","LE_EURO_SOL","LE_EURO_CSH","LE_EURO_PLE","LE_KG_SOL","LE_KG_CSH","LE_KG_PLE","VE_REF","t_intv_day","t_intv_h","ISO3_Country_Code","full_name","Coordinates","Latitude","Longitude","EU_Fish_Port","Port"
"63","DEWAR",339435,31541,15485.188,0,0,3400,0,0,1144,6,235.71875,5657.25,"DEU","Warnemuende","5355N 00984E",54.168,12.093,"Y","Y"
"64","DEWIS",43680,0,694,0,0,0,0,0,12,1,30.3333333333333,728,"DEU","Wismar","5390N 01145E",53.89666667,11.45333333,"Y","Y"
"65","DEWRY",871858,737716,238899.168,0,737716,0,0,238899.168,0,6,605.456944444444,14530.9666666667,"DEU","Wremen","5365N 00850E",53.65,8.5,"Y","Y"
"66","DEWYK",55415,24721,8384,0,24721,0,0,8384,0,1,38.4826388888889,923.583333333333,"DEU","Wyk auf Foehr","5469N 00858E",54.69333333,8.575,"Y","Y"
"67","DKGRE",7620,13953,61185.614,0,0,23,0,0,100,1,5.29166666666667,127,"DNK","Grenaa","5642N 01093E",56.416,10.9266,"Y","Y"
"68","DKHAN",1049200,1100609,587262.822,0,0,16493,0,0,12088.116,7,728.611111111111,17486.6666666667,"DNK","Hanstholm","5712N 00861E",57.116,8.6066,"Y","Y"
"69","DKHNB",250365,107155,35711.922,0,107155,0,0,35711.922,0,2,173.864583333333,4172.75,"DNK","Havneby","5509N 00855E",55.0873,8.5545,"Y","Y"
"70","DKTHN",286915,84548,36258.892,0,0,3804,0,0,2767.508,1,199.246527777778,4781.91666666667,"DNK","Thyboron","5670N 00821E",56.7038,8.2127,"Y","Y"
"71","NLDHR",1759650,2044361,630739.477,731149,34571,498136,72241.103,7138.371,353751.778,6,1221.97916666667,29327.5,"NLD","Den Helder","5297N 00477E",52.96666667,4.766666667,"Y","Y"
"72","NLHAR",1586220,2084624,815630.341,743855,0,931931,70677.557,0,620725.675,6,1101.54166666667,26437,"NLD","Harlingen","5318N 00542E",53.18333333,5.416666667,"Y","Y"
"73","NLIJM",504766,578498,137924.85,277106,0,60429,26664.398,0,39972.986,2,350.531944444444,8412.76666666667,"NLD","IJmuiden/Velsen","5247N 00460E",52.46666667,4.6,"Y","Y"
"74","NLLAN",923917,506012,207663.73,7598,161795,155588,664.267,57066.494,106758.265,5,641.609027777778,15398.6166666667,"NLD","Lauwersoog","5342N 00620E",53.41666667,6.2,"Y","Y"
"75","NLSCE",293613,272318,64619.816,137850,0,8660,14811.366,0,6818.513,2,203.897916666667,4893.55,"NLD","Scheveningen","5210N 00428E",52.1,4.283333333,"Y","Y"
