OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;AREA_SQKM;NOTES;Shape_Length;Shape_Area
112;United Kingdom;Shell Flats No. 2 (Eastern) Met Mast;1;;Production;;10035,84887;0,031393362; ;0,007724787;4,28824E-06
113;United Kingdom;South Pembrokeshire Demonstration Zone;;;Planned;;13086,86962;90,41636969; ;0,520160857;0,011696128
114;United Kingdom;St David's Head;1;10;Dismantled;;247,6600386;1,61915999; ;0,068267506;0,000211441
115;United Kingdom;Stevenson;62;372;Approved;;22309,59509;77,42531279; ;0,482716635;0,011820609
116;United Kingdom;Strangford Lough Array;;20;Planned;;127,2565496;0,514003304; ;0,056061277;7,10212E-05
117;United Kingdom;Strangford Lough Minesto;1;1,2;Dismantled;;246,580179;0,075008898; ;0,020670223;1,0372E-05
118;United Kingdom;Strangford Lough SeaGen;1;1,2;Dismantled;;277,4575402;0,00782893; ;0,003890644;1,08213E-06
119;United Kingdom;Teesside Wind Farm;27;62;Production;2013;979,6897599;4,322593615; ;0,130484017;0,000601502
120;United Kingdom;Telford;62;372;Approved;;22332,96502;93,3812664; ;0,535976935;0,014276044
121;United Kingdom;Walney 1 Wind Farm;51;184;Production;2011;14160,94648;27,15320235; ;0,278587565;0,00372376
122;United Kingdom;Walney 2 Wind Farm;51;184;Production;2012;17774,48846;45,87030143; ;0,333628732;0,00629669
123;United Kingdom;Walney Extension (WOW03) Wind Farm;40;330;Production;2018;26722,35133;49,18556007; ;0,397277257;0,00675845
124;United Kingdom;Walney Extension (WOW04) Wind Farm;47;329;Approved;;19810,4714;100,1812331; ;0,683834695;0,013748616
125;United Kingdom;TwinHub;;40;Approved;;15166,74675;7,961054405; ;0,128784202;0,001005847
126;United Kingdom;West Anglesey Demonstration Zone;;;Planned;;523,2546051;35,04287717; ;0,30253221;0,004722067
127;United Kingdom;West of Duddon Sands Wind Farm;108;389;Production;2014;13988,57347;66,8757888; ;0,411103249;0,00915896
128;United Kingdom;Westray South;200;200;Planned;;560,0883765;12,64057416; ;0,205457902;0,001984578
129;United Kingdom;Dounreay Tri Wind Farm;2;10;Approved;;9164,884954;6,25619542; ;0,131111342;0,000967769
130;United Kingdom;Kincardine Wind Farm;5;50;Construction;;14345,22263;24,89841428; ;0,258087582;0,003679613
131;United Kingdom;SeaGreen Charlie Wind Farm;;2300;Planned;;43430,24541;654,9975331; ;1,42442878;0,09499895
132;United Kingdom;Dogger Bank A;100;1200;Approved;;130997,9019;515,2883645; ;1,340457513;0,071921815
133;United Kingdom;Dogger Bank B;100;1200;Approved;;130974,6437;599,5105087; ;1,18902246;0,084106076
134;United Kingdom;Docking Shoal Met Mast;1;;Dismantled;;18889,82124;0,031374041; ;0,007633983;4,21446E-06
135;United Kingdom;Race Bank Wind Farm;91;573;Production;2018;26592,70615;62,37866831; ;0,456460356;0,008402339
136;United Kingdom;Dogger Bank East Met Mast;1;;Dismantled;;210099,2264;0,195958925; ;0,019698754;2,75744E-05
137;United Kingdom;Dogger Bank West Met Mast;1;;Dismantled;;148406,4501;0,196102667; ;0,019627022;2,74367E-05
