; Do not edit this file, it was generated by `get_holidays.py
; SPDX-FileCopyrightText: 2023 Helmholtz-Zentrum hereon GmbH
; SPDX-License-Identifier: CC0-1.0
Date,Holiday
1963-05-24,1er Moharram* (*estimated)
1963-07-09,Fête du Trône
1963-08-02,Aid al Mawlid Annabawi* (*estimated)
1963-08-03,Aid al Mawlid Annabawi* (*estimated)
1963-08-14,Journée de Oued Ed-Dahab
1963-08-20,Commémoration de la révolution du Roi et du peuple
1963-11-18,Fête de l'indépendance
1964-01-01,Nouvel an - Premier janvier
1964-01-11,Commémoration de la présentation du manifeste de l'indépendance
1964-02-14,Eid al-Fitr* (*estimated)
1964-02-15,Eid al-Fitr* (*estimated)
1964-03-03,Fête du Trône
1964-04-22,Eid al-Adha* (*estimated)
1964-04-23,Eid al-Adha* (*estimated)
1964-05-01,Fête du Travail
1964-05-12,1er Moharram* (*estimated)
1964-07-09,Fête du Trône
1964-07-21,Aid al Mawlid Annabawi* (*estimated)
1964-07-22,Aid al Mawlid Annabawi* (*estimated)
1964-08-14,Journée de Oued Ed-Dahab
1964-08-20,Commémoration de la révolution du Roi et du peuple
1964-11-18,Fête de l'indépendance
1965-01-01,Nouvel an - Premier janvier
1965-01-11,Commémoration de la présentation du manifeste de l'indépendance
1965-02-02,Eid al-Fitr* (*estimated)
1965-02-03,Eid al-Fitr* (*estimated)
1965-03-03,Fête du Trône
1965-04-11,Eid al-Adha* (*estimated)
1965-04-12,Eid al-Adha* (*estimated)
1965-05-01,1er Moharram* (*estimated); Fête du Travail
1965-07-09,Fête du Trône
1965-07-10,Aid al Mawlid Annabawi* (*estimated)
1965-07-11,Aid al Mawlid Annabawi* (*estimated)
1965-08-14,Journée de Oued Ed-Dahab
1965-08-20,Commémoration de la révolution du Roi et du peuple
1965-11-18,Fête de l'indépendance
1966-01-01,Nouvel an - Premier janvier
1966-01-11,Commémoration de la présentation du manifeste de l'indépendance
1966-01-22,Eid al-Fitr* (*estimated)
1966-01-23,Eid al-Fitr* (*estimated)
1966-03-03,Fête du Trône
1966-04-01,Eid al-Adha* (*estimated)
1966-04-02,Eid al-Adha* (*estimated)
1966-04-21,1er Moharram* (*estimated)
1966-05-01,Fête du Travail
1966-07-01,Aid al Mawlid Annabawi* (*estimated)
1966-07-02,Aid al Mawlid Annabawi* (*estimated)
1966-07-09,Fête du Trône
1966-08-14,Journée de Oued Ed-Dahab
1966-08-20,Commémoration de la révolution du Roi et du peuple
1966-11-18,Fête de l'indépendance
1967-01-01,Nouvel an - Premier janvier
1967-01-11,Commémoration de la présentation du manifeste de l'indépendance
1967-01-12,Eid al-Fitr* (*estimated)
1967-01-13,Eid al-Fitr* (*estimated)
1967-03-03,Fête du Trône
1967-03-21,Eid al-Adha* (*estimated)
1967-03-22,Eid al-Adha* (*estimated)
1967-04-11,1er Moharram* (*estimated)
1967-05-01,Fête du Travail
1967-06-19,Aid al Mawlid Annabawi* (*estimated)
1967-06-20,Aid al Mawlid Annabawi* (*estimated)
1967-07-09,Fête du Trône
1967-08-14,Journée de Oued Ed-Dahab
1967-08-20,Commémoration de la révolution du Roi et du peuple
1967-11-18,Fête de l'indépendance
1968-01-01,Eid al-Fitr* (*estimated); Nouvel an - Premier janvier
1968-01-02,Eid al-Fitr* (*estimated)
1968-01-11,Commémoration de la présentation du manifeste de l'indépendance
1968-03-03,Fête du Trône
1968-03-09,Eid al-Adha* (*estimated)
1968-03-10,Eid al-Adha* (*estimated)
1968-03-30,1er Moharram* (*estimated)
1968-05-01,Fête du Travail
1968-06-08,Aid al Mawlid Annabawi* (*estimated)
1968-06-09,Aid al Mawlid Annabawi* (*estimated)
1968-07-09,Fête du Trône
1968-08-14,Journée de Oued Ed-Dahab
1968-08-20,Commémoration de la révolution du Roi et du peuple
1968-11-18,Fête de l'indépendance
1968-12-21,Eid al-Fitr* (*estimated)
1968-12-22,Eid al-Fitr* (*estimated)
1969-01-01,Nouvel an - Premier janvier
1969-01-11,Commémoration de la présentation du manifeste de l'indépendance
1969-02-27,Eid al-Adha* (*estimated)
1969-02-28,Eid al-Adha* (*estimated)
1969-03-03,Fête du Trône
1969-03-19,1er Moharram* (*estimated)
1969-05-01,Fête du Travail
1969-05-28,Aid al Mawlid Annabawi* (*estimated)
1969-05-29,Aid al Mawlid Annabawi* (*estimated)
1969-07-09,Fête du Trône
1969-08-14,Journée de Oued Ed-Dahab
1969-08-20,Commémoration de la révolution du Roi et du peuple
1969-11-18,Fête de l'indépendance
1969-12-10,Eid al-Fitr* (*estimated)
1969-12-11,Eid al-Fitr* (*estimated)
1970-01-01,Nouvel an - Premier janvier
1970-01-11,Commémoration de la présentation du manifeste de l'indépendance
1970-02-16,Eid al-Adha* (*estimated)
1970-02-17,Eid al-Adha* (*estimated)
1970-03-03,Fête du Trône
1970-03-09,1er Moharram* (*estimated)
1970-05-01,Fête du Travail
1970-05-18,Aid al Mawlid Annabawi* (*estimated)
1970-05-19,Aid al Mawlid Annabawi* (*estimated)
1970-07-09,Fête du Trône
1970-08-14,Journée de Oued Ed-Dahab
1970-08-20,Commémoration de la révolution du Roi et du peuple
1970-11-18,Fête de l'indépendance
1970-11-30,Eid al-Fitr* (*estimated)
1970-12-01,Eid al-Fitr* (*estimated)
1971-01-01,Nouvel an - Premier janvier
1971-01-11,Commémoration de la présentation du manifeste de l'indépendance
1971-02-06,Eid al-Adha* (*estimated)
1971-02-07,Eid al-Adha* (*estimated)
1971-02-26,1er Moharram* (*estimated)
1971-03-03,Fête du Trône
1971-05-01,Fête du Travail
1971-05-07,Aid al Mawlid Annabawi* (*estimated)
1971-05-08,Aid al Mawlid Annabawi* (*estimated)
1971-07-09,Fête du Trône
1971-08-14,Journée de Oued Ed-Dahab
1971-08-20,Commémoration de la révolution du Roi et du peuple
1971-11-18,Fête de l'indépendance
1971-11-19,Eid al-Fitr* (*estimated)
1971-11-20,Eid al-Fitr* (*estimated)
