; Do not edit this file, it was generated by `get_holidays.py
; SPDX-FileCopyrightText: 2023 Helmholtz-Zentrum hereon GmbH
; SPDX-License-Identifier: CC0-1.0
Date,Holiday
2028-05-01,Fête du Travail
2028-05-05,Eid al-Adha* (*estimated)
2028-05-06,Eid al-Adha* (*estimated)
2028-05-25,1er Moharram* (*estimated)
2028-07-30,Fête du Trône
2028-08-03,Aid al Mawlid Annabawi* (*estimated)
2028-08-04,Aid al Mawlid Annabawi* (*estimated)
2028-08-14,Journée de Oued Ed-Dahab
2028-08-20,Commémoration de la révolution du Roi et du peuple
2028-08-21,Fête de la jeunesse
2028-11-06,Marche verte
2028-11-18,Fête de l'indépendance
2029-01-01,Nouvel an - Premier janvier
2029-01-11,Commémoration de la présentation du manifeste de l'indépendance
2029-02-14,Eid al-Fitr* (*estimated)
2029-02-15,Eid al-Fitr* (*estimated)
2029-04-24,Eid al-Adha* (*estimated)
2029-04-25,Eid al-Adha* (*estimated)
2029-05-01,Fête du Travail
2029-05-14,1er Moharram* (*estimated)
2029-07-24,Aid al Mawlid Annabawi* (*estimated)
2029-07-25,Aid al Mawlid Annabawi* (*estimated)
2029-07-30,Fête du Trône
2029-08-14,Journée de Oued Ed-Dahab
2029-08-20,Commémoration de la révolution du Roi et du peuple
2029-08-21,Fête de la jeunesse
2029-11-06,Marche verte
2029-11-18,Fête de l'indépendance
2030-01-01,Nouvel an - Premier janvier
2030-01-11,Commémoration de la présentation du manifeste de l'indépendance
2030-02-04,Eid al-Fitr* (*estimated)
2030-02-05,Eid al-Fitr* (*estimated)
2030-04-13,Eid al-Adha* (*estimated)
2030-04-14,Eid al-Adha* (*estimated)
2030-05-01,Fête du Travail
2030-05-03,1er Moharram* (*estimated)
2030-07-13,Aid al Mawlid Annabawi* (*estimated)
2030-07-14,Aid al Mawlid Annabawi* (*estimated)
2030-07-30,Fête du Trône
2030-08-14,Journée de Oued Ed-Dahab
2030-08-20,Commémoration de la révolution du Roi et du peuple
2030-08-21,Fête de la jeunesse
2030-11-06,Marche verte
2030-11-18,Fête de l'indépendance
2031-01-01,Nouvel an - Premier janvier
2031-01-11,Commémoration de la présentation du manifeste de l'indépendance
2031-01-24,Eid al-Fitr* (*estimated)
2031-01-25,Eid al-Fitr* (*estimated)
2031-04-02,Eid al-Adha* (*estimated)
2031-04-03,Eid al-Adha* (*estimated)
2031-04-23,1er Moharram* (*estimated)
2031-05-01,Fête du Travail
2031-07-02,Aid al Mawlid Annabawi* (*estimated)
2031-07-03,Aid al Mawlid Annabawi* (*estimated)
2031-07-30,Fête du Trône
2031-08-14,Journée de Oued Ed-Dahab
2031-08-20,Commémoration de la révolution du Roi et du peuple
2031-08-21,Fête de la jeunesse
2031-11-06,Marche verte
2031-11-18,Fête de l'indépendance
2032-01-01,Nouvel an - Premier janvier
2032-01-11,Commémoration de la présentation du manifeste de l'indépendance
2032-01-14,Eid al-Fitr* (*estimated)
2032-01-15,Eid al-Fitr* (*estimated)
2032-03-22,Eid al-Adha* (*estimated)
2032-03-23,Eid al-Adha* (*estimated)
2032-04-11,1er Moharram* (*estimated)
2032-05-01,Fête du Travail
2032-06-20,Aid al Mawlid Annabawi* (*estimated)
2032-06-21,Aid al Mawlid Annabawi* (*estimated)
2032-07-30,Fête du Trône
2032-08-14,Journée de Oued Ed-Dahab
2032-08-20,Commémoration de la révolution du Roi et du peuple
2032-08-21,Fête de la jeunesse
2032-11-06,Marche verte
2032-11-18,Fête de l'indépendance
2033-01-01,Nouvel an - Premier janvier
2033-01-02,Eid al-Fitr* (*estimated)
2033-01-03,Eid al-Fitr* (*estimated)
2033-01-11,Commémoration de la présentation du manifeste de l'indépendance
2033-03-11,Eid al-Adha* (*estimated)
2033-03-12,Eid al-Adha* (*estimated)
2033-04-01,1er Moharram* (*estimated)
2033-05-01,Fête du Travail
2033-06-09,Aid al Mawlid Annabawi* (*estimated)
2033-06-10,Aid al Mawlid Annabawi* (*estimated)
2033-07-30,Fête du Trône
2033-08-14,Journée de Oued Ed-Dahab
2033-08-20,Commémoration de la révolution du Roi et du peuple
2033-08-21,Fête de la jeunesse
2033-11-06,Marche verte
2033-11-18,Fête de l'indépendance
2033-12-23,Eid al-Fitr* (*estimated)
2033-12-24,Eid al-Fitr* (*estimated)
2034-01-01,Nouvel an - Premier janvier
2034-01-11,Commémoration de la présentation du manifeste de l'indépendance
2034-03-01,Eid al-Adha* (*estimated)
2034-03-02,Eid al-Adha* (*estimated)
2034-03-21,1er Moharram* (*estimated)
2034-05-01,Fête du Travail
2034-05-30,Aid al Mawlid Annabawi* (*estimated)
2034-05-31,Aid al Mawlid Annabawi* (*estimated)
2034-07-30,Fête du Trône
2034-08-14,Journée de Oued Ed-Dahab
2034-08-20,Commémoration de la révolution du Roi et du peuple
2034-08-21,Fête de la jeunesse
2034-11-06,Marche verte
2034-11-18,Fête de l'indépendance
2034-12-12,Eid al-Fitr* (*estimated)
2034-12-13,Eid al-Fitr* (*estimated)
2035-01-01,Nouvel an - Premier janvier
2035-01-11,Commémoration de la présentation du manifeste de l'indépendance
2035-02-18,Eid al-Adha* (*estimated)
2035-02-19,Eid al-Adha* (*estimated)
2035-03-11,1er Moharram* (*estimated)
2035-05-01,Fête du Travail
2035-05-20,Aid al Mawlid Annabawi* (*estimated)
2035-05-21,Aid al Mawlid Annabawi* (*estimated)
2035-07-30,Fête du Trône
2035-08-14,Journée de Oued Ed-Dahab
2035-08-20,Commémoration de la révolution du Roi et du peuple
2035-08-21,Fête de la jeunesse
2035-11-06,Marche verte
2035-11-18,Fête de l'indépendance
2035-12-01,Eid al-Fitr* (*estimated)
2035-12-02,Eid al-Fitr* (*estimated)
2036-01-01,Nouvel an - Premier janvier
2036-01-11,Commémoration de la présentation du manifeste de l'indépendance
2036-02-07,Eid al-Adha* (*estimated)
2036-02-08,Eid al-Adha* (*estimated)
2036-02-28,1er Moharram* (*estimated)
2036-05-01,Fête du Travail
2036-05-08,Aid al Mawlid Annabawi* (*estimated)
2036-05-09,Aid al Mawlid Annabawi* (*estimated)
2036-07-30,Fête du Trône
2036-08-14,Journée de Oued Ed-Dahab
2036-08-20,Commémoration de la révolution du Roi et du peuple
2036-08-21,Fête de la jeunesse
2036-11-06,Marche verte
2036-11-18,Fête de l'indépendance
2036-11-19,Eid al-Fitr* (*estimated)
2036-11-20,Eid al-Fitr* (*estimated)
2037-01-01,Nouvel an - Premier janvier
2037-01-11,Commémoration de la présentation du manifeste de l'indépendance
2037-01-26,Eid al-Adha* (*estimated)
2037-01-27,Eid al-Adha* (*estimated)
2037-02-16,1er Moharram* (*estimated)
2037-04-28,Aid al Mawlid Annabawi* (*estimated)
2037-04-29,Aid al Mawlid Annabawi* (*estimated)
2037-05-01,Fête du Travail
2037-07-30,Fête du Trône
2037-08-14,Journée de Oued Ed-Dahab
2037-08-20,Commémoration de la révolution du Roi et du peuple
2037-08-21,Fête de la jeunesse
2037-11-06,Marche verte
2037-11-08,Eid al-Fitr* (*estimated)
2037-11-09,Eid al-Fitr* (*estimated)
2037-11-18,Fête de l'indépendance
2038-01-01,Nouvel an - Premier janvier
2038-01-11,Commémoration de la présentation du manifeste de l'indépendance
2038-01-16,Eid al-Adha* (*estimated)
2038-01-17,Eid al-Adha* (*estimated)
2038-02-05,1er Moharram* (*estimated)
2038-04-17,Aid al Mawlid Annabawi* (*estimated)
2038-04-18,Aid al Mawlid Annabawi* (*estimated)
2038-05-01,Fête du Travail
2038-07-30,Fête du Trône
2038-08-14,Journée de Oued Ed-Dahab
2038-08-20,Commémoration de la révolution du Roi et du peuple
2038-08-21,Fête de la jeunesse
2038-10-29,Eid al-Fitr* (*estimated)
2038-10-30,Eid al-Fitr* (*estimated)
2038-11-06,Marche verte
2038-11-18,Fête de l'indépendance
2039-01-01,Nouvel an - Premier janvier
2039-01-05,Eid al-Adha* (*estimated)
2039-01-06,Eid al-Adha* (*estimated)
2039-01-11,Commémoration de la présentation du manifeste de l'indépendance
2039-01-26,1er Moharram* (*estimated)
2039-04-06,Aid al Mawlid Annabawi* (*estimated)
2039-04-07,Aid al Mawlid Annabawi* (*estimated)
2039-05-01,Fête du Travail
2039-07-30,Fête du Trône
2039-08-14,Journée de Oued Ed-Dahab
2039-08-20,Commémoration de la révolution du Roi et du peuple
2039-08-21,Fête de la jeunesse
2039-10-19,Eid al-Fitr* (*estimated)
2039-10-20,Eid al-Fitr* (*estimated)
2039-11-06,Marche verte
2039-11-18,Fête de l'indépendance
2039-12-26,Eid al-Adha* (*estimated)
2039-12-27,Eid al-Adha* (*estimated)
2040-01-01,Nouvel an - Premier janvier
2040-01-11,Commémoration de la présentation du manifeste de l'indépendance
2040-01-15,1er Moharram* (*estimated)
2040-03-25,Aid al Mawlid Annabawi* (*estimated)
2040-03-26,Aid al Mawlid Annabawi* (*estimated)
2040-05-01,Fête du Travail
2040-07-30,Fête du Trône
2040-08-14,Journée de Oued Ed-Dahab
2040-08-20,Commémoration de la révolution du Roi et du peuple
2040-08-21,Fête de la jeunesse
2040-10-07,Eid al-Fitr* (*estimated)
2040-10-08,Eid al-Fitr* (*estimated)
2040-11-06,Marche verte
2040-11-18,Fête de l'indépendance
2040-12-14,Eid al-Adha* (*estimated)
2040-12-15,Eid al-Adha* (*estimated)
2041-01-01,Nouvel an - Premier janvier
2041-01-04,1er Moharram* (*estimated)
2041-01-11,Commémoration de la présentation du manifeste de l'indépendance
2041-03-15,Aid al Mawlid Annabawi* (*estimated)
2041-03-16,Aid al Mawlid Annabawi* (*estimated)
2041-05-01,Fête du Travail
2041-07-30,Fête du Trône
2041-08-14,Journée de Oued Ed-Dahab
2041-08-20,Commémoration de la révolution du Roi et du peuple
2041-08-21,Fête de la jeunesse
2041-09-26,Eid al-Fitr* (*estimated)
2041-09-27,Eid al-Fitr* (*estimated)
2041-11-06,Marche verte
2041-11-18,Fête de l'indépendance
2041-12-04,Eid al-Adha* (*estimated)
2041-12-05,Eid al-Adha* (*estimated)
2041-12-24,1er Moharram* (*estimated)
2042-01-01,Nouvel an - Premier janvier
2042-01-11,Commémoration de la présentation du manifeste de l'indépendance
2042-03-04,Aid al Mawlid Annabawi* (*estimated)
2042-03-05,Aid al Mawlid Annabawi* (*estimated)
2042-05-01,Fête du Travail
2042-07-30,Fête du Trône
2042-08-14,Journée de Oued Ed-Dahab
2042-08-20,Commémoration de la révolution du Roi et du peuple
2042-08-21,Fête de la jeunesse
2042-09-15,Eid al-Fitr* (*estimated)
2042-09-16,Eid al-Fitr* (*estimated)
2042-11-06,Marche verte
2042-11-18,Fête de l'indépendance
2042-11-23,Eid al-Adha* (*estimated)
2042-11-24,Eid al-Adha* (*estimated)
2042-12-14,1er Moharram* (*estimated)
2043-01-01,Nouvel an - Premier janvier
2043-01-11,Commémoration de la présentation du manifeste de l'indépendance
2043-02-22,Aid al Mawlid Annabawi* (*estimated)
2043-02-23,Aid al Mawlid Annabawi* (*estimated)
2043-05-01,Fête du Travail
2043-07-30,Fête du Trône
2043-08-14,Journée de Oued Ed-Dahab
2043-08-20,Commémoration de la révolution du Roi et du peuple
2043-08-21,Fête de la jeunesse
2043-09-04,Eid al-Fitr* (*estimated)
2043-09-05,Eid al-Fitr* (*estimated)
2043-11-06,Marche verte
2043-11-12,Eid al-Adha* (*estimated)
2043-11-13,Eid al-Adha* (*estimated)
2043-11-18,Fête de l'indépendance
2043-12-03,1er Moharram* (*estimated)
2044-01-01,Nouvel an - Premier janvier
2044-01-11,Commémoration de la présentation du manifeste de l'indépendance
2044-02-11,Aid al Mawlid Annabawi* (*estimated)
2044-02-12,Aid al Mawlid Annabawi* (*estimated)
2044-05-01,Fête du Travail
2044-07-30,Fête du Trône
2044-08-14,Journée de Oued Ed-Dahab
2044-08-20,Commémoration de la révolution du Roi et du peuple
2044-08-21,Fête de la jeunesse
2044-08-24,Eid al-Fitr* (*estimated)
2044-08-25,Eid al-Fitr* (*estimated)
2044-10-31,Eid al-Adha* (*estimated)
2044-11-01,Eid al-Adha* (*estimated)
2044-11-06,Marche verte
2044-11-18,Fête de l'indépendance
2044-11-21,1er Moharram* (*estimated)
2045-01-01,Nouvel an - Premier janvier
2045-01-11,Commémoration de la présentation du manifeste de l'indépendance
2045-01-30,Aid al Mawlid Annabawi* (*estimated)
2045-01-31,Aid al Mawlid Annabawi* (*estimated)
2045-05-01,Fête du Travail
2045-07-30,Fête du Trône
2045-08-14,Eid al-Fitr* (*estimated); Journée de Oued Ed-Dahab
2045-08-15,Eid al-Fitr* (*estimated)
2045-08-20,Commémoration de la révolution du Roi et du peuple
2045-08-21,Fête de la jeunesse
2045-10-21,Eid al-Adha* (*estimated)
2045-10-22,Eid al-Adha* (*estimated)
2045-11-06,Marche verte
2045-11-10,1er Moharram* (*estimated)
2045-11-18,Fête de l'indépendance
2046-01-01,Nouvel an - Premier janvier
2046-01-11,Commémoration de la présentation du manifeste de l'indépendance
2046-01-19,Aid al Mawlid Annabawi* (*estimated)
2046-01-20,Aid al Mawlid Annabawi* (*estimated)
2046-05-01,Fête du Travail
2046-07-30,Fête du Trône
2046-08-03,Eid al-Fitr* (*estimated)
2046-08-04,Eid al-Fitr* (*estimated)
2046-08-14,Journée de Oued Ed-Dahab
2046-08-20,Commémoration de la révolution du Roi et du peuple
2046-08-21,Fête de la jeunesse
2046-10-10,Eid al-Adha* (*estimated)
2046-10-11,Eid al-Adha* (*estimated)
2046-10-31,1er Moharram* (*estimated)
2046-11-06,Marche verte
2046-11-18,Fête de l'indépendance
2047-01-01,Nouvel an - Premier janvier
2047-01-08,Aid al Mawlid Annabawi* (*estimated)
2047-01-09,Aid al Mawlid Annabawi* (*estimated)
2047-01-11,Commémoration de la présentation du manifeste de l'indépendance
2047-05-01,Fête du Travail
2047-07-24,Eid al-Fitr* (*estimated)
2047-07-25,Eid al-Fitr* (*estimated)
2047-07-30,Fête du Trône
2047-08-14,Journée de Oued Ed-Dahab
2047-08-20,Commémoration de la révolution du Roi et du peuple
2047-08-21,Fête de la jeunesse
2047-09-30,Eid al-Adha* (*estimated)
2047-10-01,Eid al-Adha* (*estimated)
2047-10-20,1er Moharram* (*estimated)
2047-11-06,Marche verte
2047-11-18,Fête de l'indépendance
2047-12-29,Aid al Mawlid Annabawi* (*estimated)
2047-12-30,Aid al Mawlid Annabawi* (*estimated)
2048-01-01,Nouvel an - Premier janvier
2048-01-11,Commémoration de la présentation du manifeste de l'indépendance
2048-05-01,Fête du Travail
2048-07-12,Eid al-Fitr* (*estimated)
2048-07-13,Eid al-Fitr* (*estimated)
2048-07-30,Fête du Trône
2048-08-14,Journée de Oued Ed-Dahab
2048-08-20,Commémoration de la révolution du Roi et du peuple
2048-08-21,Fête de la jeunesse
2048-09-19,Eid al-Adha* (*estimated)
2048-09-20,Eid al-Adha* (*estimated)
2048-10-09,1er Moharram* (*estimated)
2048-11-06,Marche verte
2048-11-18,Fête de l'indépendance
2048-12-18,Aid al Mawlid Annabawi* (*estimated)
2048-12-19,Aid al Mawlid Annabawi* (*estimated)
2049-01-01,Nouvel an - Premier janvier
2049-01-11,Commémoration de la présentation du manifeste de l'indépendance
2049-05-01,Fête du Travail
2049-07-01,Eid al-Fitr* (*estimated)
2049-07-02,Eid al-Fitr* (*estimated)
2049-07-30,Fête du Trône
2049-08-14,Journée de Oued Ed-Dahab
2049-08-20,Commémoration de la révolution du Roi et du peuple
2049-08-21,Fête de la jeunesse
2049-09-08,Eid al-Adha* (*estimated)
2049-09-09,Eid al-Adha* (*estimated)
2049-09-28,1er Moharram* (*estimated)
2049-11-06,Marche verte
2049-11-18,Fête de l'indépendance
2049-12-07,Aid al Mawlid Annabawi* (*estimated)
2049-12-08,Aid al Mawlid Annabawi* (*estimated)
2050-01-01,Nouvel an - Premier janvier
2050-01-11,Commémoration de la présentation du manifeste de l'indépendance
2050-05-01,Fête du Travail
2050-06-20,Eid al-Fitr* (*estimated)
2050-06-21,Eid al-Fitr* (*estimated)
2050-07-30,Fête du Trône
2050-08-14,Journée de Oued Ed-Dahab
2050-08-20,Commémoration de la révolution du Roi et du peuple
2050-08-21,Fête de la jeunesse
2050-08-28,Eid al-Adha* (*estimated)
2050-08-29,Eid al-Adha* (*estimated)
2050-09-17,1er Moharram* (*estimated)
2050-11-06,Marche verte
2050-11-18,Fête de l'indépendance
2050-11-26,Aid al Mawlid Annabawi* (*estimated)
2050-11-27,Aid al Mawlid Annabawi* (*estimated)
